"name","channel"
"7AAD.fcs","7-AAD-A"
"AF-430.fcs","Alexa Fluor 430-A"
"APC-Cy7.fcs","APC-Cy7-A"
"NIL.fcs","Unstained"
"PE-Cy7.fcs","PE-Cy7-A"
"PE.fcs","PE-A"
